i_iso3,j_iso3,year,tau,tauAlt
USA,VNM,2011,1.057821506633788,0.7969381642210135
ZAF,VNM,2011,1.6773291406662485,1.0494798950374153
AUS,ZAF,2011,1.4298140733302123,0.971690536653298
BRA,ZAF,2011,1.7810375010658295,1.2034546641944541
CAN,ZAF,2011,1.6040737867245334,1.068972799284862
CHL,ZAF,2011,2.6656088441406602,1.5639876904706784
CHN,ZAF,2011,1.687238447987995,1.3454622833412615
COL,ZAF,2011,3.851782777130989,2.032801656150885
EU,ZAF,2011,1.189992050134746,0.9871407543922083
IDN,ZAF,2011,2.7135555063497248,1.8819312467090752
IND,ZAF,2011,3.06961331481287,2.3293293194278197
ISR,ZAF,2011,1.853039190783353,1.1816716247135495
JPN,ZAF,2011,1.2098490471761731,0.8592399131061681
KOR,ZAF,2011,1.691856865799885,1.216303879699902
MEX,ZAF,2011,2.632697641054971,1.7317984143508574
MYSG,ZAF,2011,1.9442069990302182,1.452016339713621
NZL,ZAF,2011,2.155972295764547,1.2879035229133942
PER,ZAF,2011,2.5437450411102858,1.5800673134424088
PHL,ZAF,2011,4.111046356043151,2.4623645576333795
RoW,ZAF,2011,1.4655928945166208,1.2538078254828875
RUS,ZAF,2011,3.273027337506276,1.968704716903721
THA,ZAF,2011,2.7387024279570094,1.96070648871119
TUR,ZAF,2011,2.4428866271124106,1.583830883606717
USA,ZAF,2011,1.6598851249816466,1.2767463613323606
VNM,ZAF,2011,3.7658916850544224,2.520990793257399
TRI,AUS,2011,2.525262072467563,NA
TRI,BRA,2011,2.1765025783267102,NA
TRI,CAN,2011,2.2580508598031743,NA
TRI,CHL,2011,1.7795659386107545,NA
TRI,CHN,2011,1.6750028847183718,NA
TRI,COL,2011,1.695262604103669,NA
TRI,EU,2011,2.1758214119400527,NA
TRI,IDN,2011,1.410370026301059,NA
TRI,IND,2011,1.0481879349479446,NA
TRI,ISR,2011,2.2336116918298417,NA
TRI,JPN,2011,2.850096692398439,NA
TRI,KOR,2011,1.834272548963943,NA
TRI,MEX,2011,1.494866594860198,NA
TRI,MYSG,2011,1.4424097629847128,NA
TRI,NZL,2011,2.207823525905865,NA
TRI,PER,2011,1.5183149885473273,NA
TRI,PHL,2011,1.251751050736171,NA
TRI,RoW,2011,1.4834204992990507,NA
