i_iso3,j_iso3,q025,q500,q975
MYSG,FRA,2.3950654518104444,2.6339252526483516,2.924622868106032
NZL,FRA,2.623526852180676,2.832205089913443,3.049771247187861
PER,FRA,3.8645638355997955,4.2535864329496675,4.660105669175603
PHL,FRA,4.49546420778411,5.021004474502463,5.656386272837221
POL,FRA,2.543052421901847,2.76134075684085,2.970726604244414
PRT,FRA,2.185258060049874,2.345988148683644,2.5144983215444703
ROU,FRA,2.744047526977456,2.9600833736818357,3.201557075653967
RoW,FRA,1.7995320727692075,1.9396956667595022,2.1042651990911154
RUS,FRA,2.6216164618625553,2.8324411404544443,3.052205663041198
SVK,FRA,2.1203951800130896,2.3186989416845476,2.5177297568272334
SVN,FRA,2.3531958783086435,2.579681916281623,2.7912769263028716
SWE,FRA,1.7162388323187425,1.846062294126062,1.9759609500502755
THA,FRA,3.5481676596042804,3.947924221765126,4.427173672168647
TUR,FRA,2.3929718399787996,2.63478044631752,2.863998873089538
USA,FRA,2.0459359119778613,2.145600240136222,2.2459931337776067
VNM,FRA,3.8992351426534304,4.43235180564291,5.051742858175312
ZAF,FRA,2.9200732856184026,3.245641114865475,3.5779584001333
AUS,GBR,1.5037911642449544,1.6091116992961094,1.7356766781019926
AUT,GBR,1.789848401606526,1.9223292414213673,2.078901667997735
BGR,GBR,3.3691378954288314,3.6461310456013747,3.9530292494716988
BNL,GBR,1.0717370916601114,1.1816911277126498,1.2969374297814893
BRA,GBR,1.88076320277256,2.05689749740125,2.2541449666141053
CAN,GBR,1.435048771725877,1.538268667943635,1.6410252751340046
CHL,GBR,2.577173004645423,2.7956835131208218,3.0069761378392967
CHN,GBR,1.7620692680427978,1.9470698540978235,2.1544974004941944
COL,GBR,2.7774325514926494,3.1015692020321763,3.47168103822334
CYP,GBR,2.2697767475110804,2.546154798577489,2.8005703715117534
CZE,GBR,2.011705716447688,2.159455950926163,2.328850720461023
DEU,GBR,1.2882518185366132,1.3979295636378248,1.5124171096039696
DNK,GBR,1.3936938582775522,1.509449447111131,1.6508052329966456
ELL,GBR,2.218208011460021,2.417893025032038,2.613900665039298
ESP,GBR,1.7452072886555077,1.864689265446939,1.997469550343353
FIN,GBR,1.8018266895752997,1.9283514395675123,2.0681121647345098
FRA,GBR,1.4398054923229422,1.546350083812648,1.6548906149964875
GRC,GBR,2.331434777921356,2.522341467475637,2.7064844029920327
HUN,GBR,2.2029091815863464,2.392335514970773,2.608703184698865
IDN,GBR,3.0263605998800394,3.4175605648963243,3.796681363906869
IND,GBR,3.3436910712346966,3.7956232968120123,4.3468107272284575
IRL,GBR,1.489828725319672,1.5977041659045064,1.7047553904503636
ISR,GBR,1.8170077207175734,1.9812996219430037,2.1493417186006227
ITA,GBR,1.5382867401351623,1.6435237209428375,1.764523888525681
JPN,GBR,1.2358593592490696,1.3689099206209234,1.4943439596613397
KOR,GBR,1.908107587783206,2.0907402507135444,2.298007170117436
MEX,GBR,2.8091826322031,3.018382357346474,3.235981307420952
MYSG,GBR,2.125731845533596,2.3582251083010606,2.6125803738687967
NZL,GBR,2.092372957148769,2.2502623411325535,2.429561547213527
PER,GBR,3.5178698171486142,3.845100502064593,4.230754624531363
PHL,GBR,3.989711974320575,4.420935425474659,4.967336212500114
POL,GBR,2.295674325675218,2.48244884042993,2.6702027195338376
PRT,GBR,2.2217081136202665,2.391240590122335,2.57201106498828
ROU,GBR,2.748332452557026,2.976607899645491,3.221665305082322
RoW,GBR,1.628463169007897,1.7524607613141503,1.8948982072028469
RUS,GBR,2.4580585482653072,2.6603810720460093,2.8852091918775926
SVK,GBR,2.075839652175887,2.262936226550069,2.4612511634423564
SVN,GBR,2.4876598570443664,2.6988554236121374,2.924524984957566
SWE,GBR,1.4617022697068145,1.571839404162179,1.690547306229658
THA,GBR,3.0335338774963354,3.407308771995468,3.7780407300376275
TUR,GBR,2.142425760792437,2.340378768874248,2.548499488325543
USA,GBR,1.7677401366486847,1.8575704882748316,1.9518371084318749
VNM,GBR,3.4785195478362243,3.9297934249064657,4.468826175995265
ZAF,GBR,2.115489571437075,2.352602321357784,2.5988368493727214
AUS,GRC,2.4934333200015577,2.6791336184290446,2.888141460844064
AUT,GRC,1.8981997708498926,2.0628941145336785,2.23745207861435
BGR,GRC,2.3154347415610568,2.495686383943254,2.7162851407665602
BNL,GRC,1.2249162005359657,1.3557723432450466,1.4884789330948776
BRA,GRC,2.324591256873698,2.5534813190435477,2.8015954776504963
CAN,GRC,2.3080553099403542,2.4755303404842275,2.6447711112113583
CHL,GRC,2.6627255670624352,2.8873790727308357,3.149004581650288
CHN,GRC,2.083741476985562,2.3070794722354018,2.573878761446647
COL,GRC,3.617859105759202,4.050049620202557,4.527584694683194
CYP,GRC,1.534829478449842,1.719403021023025,1.9033907371331917
CZE,GRC,2.4587699053703505,2.6502597155807015,2.8540616514306842
DEU,GRC,1.4627907283399006,1.587785160826674,1.7266624176220673
DNK,GRC,1.6082621111309578,1.7560215813598785,1.9075989052411784
ELL,GRC,2.963363773389598,3.243963496577001,3.5272878552016005
ESP,GRC,1.913908877666873,2.0543111074281457,2.2008929443596252
FIN,GRC,2.094396491528633,2.2604758653025065,2.420591953779881
FRA,GRC,1.6180543637885663,1.738285405714351,1.8789551484504348
GBR,GRC,1.9156138296834568,2.0565252610713003,2.2215465404487924
HUN,GRC,2.443552973093585,2.6879580252994097,2.945514341746648
IDN,GRC,3.3759496460577663,3.808551374014635,4.276191855452523
IND,GRC,3.8257109590821927,4.3428425214566815,4.965724730890413
IRL,GRC,2.0819156300477695,2.2435847931054314,2.4114839206362912
ISR,GRC,2.019457304695741,2.202640672739699,2.4084533693822276
ITA,GRC,1.4930189882583331,1.6009078752093957,1.7180326031246234
JPN,GRC,1.6466040767001286,1.812779119348097,1.997421213870308
KOR,GRC,1.8303947752980774,2.0186334754139974,2.2072294897643707
MEX,GRC,3.657465744220417,3.915908960681926,4.232482305326437
MYSG,GRC,2.736157819804111,3.0481351185719205,3.4086543058117016
NZL,GRC,2.529892443259708,2.720249682560252,2.9455995907705326
PER,GRC,3.822958310476972,4.227778125164784,4.643648811241522
PHL,GRC,4.693834064942082,5.243004670963797,5.903883699177361
POL,GRC,2.683115922749349,2.897859116425548,3.1347656105178885
PRT,GRC,2.5828342083758087,2.77958217733324,2.9764531317961085
ROU,GRC,2.5369965601812305,2.7316886808396568,2.966523038586898
RoW,GRC,1.7406099469633165,1.870252511743383,2.027954671510624
RUS,GRC,2.173636987726068,2.366463979143711,2.570991601895185
SVK,GRC,2.398820221824615,2.600622282156122,2.8512602615746303
SVN,GRC,2.4838895941340016,2.7041046884804336,2.929028922279252
SWE,GRC,1.8360026030835925,1.9791868490712032,2.145782444661309
THA,GRC,3.7717298333826648,4.22482754080545,4.711170897830911
TUR,GRC,2.1621603275870327,2.374937315865319,2.5914862224466035
USA,GRC,2.344295522943012,2.4666699238019847,2.6062284677106184
VNM,GRC,4.292187004022194,4.873668181377666,5.59929170963545
ZAF,GRC,3.0668226693989964,3.3904709775569803,3.7579884741723713
AUS,HUN,2.1520491968522575,2.3284732235078986,2.5128701132898
AUT,HUN,1.0830628910852917,1.1760883876432588,1.2760146001605197
BGR,HUN,2.2429576748469224,2.454934280294709,2.678911921854226
BNL,HUN,0.9500763542679052,1.052007202636314,1.1598738175797807
BRA,HUN,1.9534123129075724,2.1440130170632825,2.390835722585543
CAN,HUN,1.4292108467749902,1.5386996538618936,1.6582301674736062
CHL,HUN,2.8400115758761,3.094864607261394,3.373081216856295
CHN,HUN,1.5149206894932097,1.6927788754631101,1.8925200753565488
COL,HUN,3.1087449204745856,3.482734255047545,3.919998726867653
CYP,HUN,1.8549282631391246,2.0695186179504095,2.2837886316313205
CZE,HUN,1.3683028754754385,1.486246646405677,1.6118149633843422
DEU,HUN,0.9576419867861321,1.044708600458133,1.1355013266604244
DNK,HUN,1.2817535431668918,1.4023645135781662,1.5435476649040516
ELL,HUN,1.9654553067830016,2.152406408331755,2.344080489904633
ESP,HUN,1.539461559511026,1.6660722061150548,1.8037718277637362
FIN,HUN,1.5597609098056975,1.690042277335695,1.8246263720006255
FRA,HUN,1.242433402779798,1.3445410608239823,1.4566126399006916
GBR,HUN,1.4851459316151243,1.6062266522816766,1.737275096536578
GRC,HUN,1.9534518200775066,2.1219116899826678,2.312083446309541
IDN,HUN,2.947920337202625,3.351884917004364,3.7393885434344067
IND,HUN,3.3828328909089667,3.829231144375461,4.447093863972118
IRL,HUN,1.60968950717246,1.7370709886241107,1.8717828321691268
ISR,HUN,1.763651398383575,1.9205466699479352,2.102946515683722
ITA,HUN,1.2128613635759045,1.314026278180369,1.4253937839184045
JPN,HUN,1.0867100594696615,1.195295916339333,1.3220413212724877
KOR,HUN,1.370468803148781,1.518669072748703,1.6711827743193959
MEX,HUN,2.2444201823799745,2.4351338409856593,2.6393079020115002
MYSG,HUN,1.7081398534573748,1.8957512527752856,2.0977847673713126
NZL,HUN,2.4042722288790657,2.605865155637518,2.833482760673364
PER,HUN,4.745478234711018,5.246975956528425,5.801737681075909
PHL,HUN,2.88980687754744,3.2441991971266657,3.6284349031056986
POL,HUN,1.6279428691941449,1.7607649609409366,1.9122895419461947
PRT,HUN,2.0034618116986076,2.176266873788763,2.345418354149657
ROU,HUN,1.6387127522851384,1.7833726631240443,1.934905646186295
RoW,HUN,1.5013178804004088,1.6415854110673087,1.7966666157005085
RUS,HUN,1.5696915676508665,1.7111684887910736,1.8751120146859965
SVK,HUN,1.1873586554669016,1.304085739012869,1.4379270754793076
SVN,HUN,1.4400600133243853,1.5820314859670412,1.7345820128204064
SWE,HUN,1.2699740121611511,1.3742942912739133,1.4897932328830965
THA,HUN,2.7765374066325412,3.123761692248036,3.50965285291427
TUR,HUN,1.9799471521982428,2.1739830566564433,2.3885939449717397
USA,HUN,1.7197088517090688,1.825082168617805,1.9401851529684753
VNM,HUN,3.9325040580987194,4.493847092409575,5.136583907354928
ZAF,HUN,2.4740843055136326,2.7562386081504755,3.0754192735028023
AUS,IDN,0.9476034364525372,1.0494902425874333,1.1770802324485914
AUT,IDN,1.5330046363725955,1.7227083875555036,1.9301768204018217
BGR,IDN,2.961497139942069,3.3005610386984188,3.7327293296066246
BNL,IDN,1.1205251154784708,1.2726371332716548,1.455312942403593
BRA,IDN,1.2775525367417295,1.4414968741255496,1.6457216206497787
CAN,IDN,1.1344123513103979,1.2500215855267278,1.396739862545452
CHL,IDN,1.7260134272923215,1.9307365462472355,2.192114052438644
CHN,IDN,1.228683258015707,1.4118003182119927,1.6367450497984475
COL,IDN,2.9085769557695538,3.2926233325100167,3.8097750365706764
CYP,IDN,2.2011426923087907,2.5204042016617425,2.8629318386929645
CZE,IDN,2.1677330938672674,2.4135013078549106,2.7280978079067824
DEU,IDN,1.2187432921807677,1.3654216446773604,1.5448353794900573
DNK,IDN,1.5014883666675507,1.692054103840269,1.915008135845531
ELL,IDN,2.198491085349052,2.4601136008158093,2.7992517655643967
ESP,IDN,1.781018044901696,1.9752511322850888,2.2105252457798183
FIN,IDN,1.5837447646379743,1.7529107310070868,1.9769701779567557
FRA,IDN,1.3426646422744692,1.4938106296396616,1.6717942712827913
GBR,IDN,1.5242742511486234,1.6915029328221485,1.9028111692545555
GRC,IDN,2.041215418918609,2.293659642160847,2.5819983361618735
HUN,IDN,2.0244651587101976,2.2698487108357015,2.5940286036571223
IND,IDN,2.3003998099402714,2.667783403473911,3.164531628156778
IRL,IDN,1.8718710646962287,2.080765106046778,2.3400195735781453
ISR,IDN,2.3756322845315743,2.6842624967878916,3.044253044060536
ITA,IDN,1.4178007717388497,1.5754380291883137,1.7868499750431976
JPN,IDN,0.7731605683925417,0.8685524798559461,0.9863425900739126
KOR,IDN,1.0464351267411396,1.1774536840946936,1.3459545278189986
MEX,IDN,2.2131177842715983,2.481369612301215,2.793855588841437
MYSG,IDN,1.0372786591146126,1.1883732106796283,1.3642862709071766
NZL,IDN,1.42154188788333,1.5808684037113383,1.7843911034142659
PER,IDN,2.5836121277564605,2.9291818099688545,3.335827168032864
PHL,IDN,2.4991525713266323,2.830667628073292,3.2889271213138924
POL,IDN,2.6054327295054454,2.8873006798339813,3.274261861576562
PRT,IDN,2.3567017490026974,2.6398413780131675,2.9685961741131996
ROU,IDN,2.8892224165746483,3.225460228874625,3.6303183650176303
RoW,IDN,1.1686078131857824,1.308658289084489,1.4700999187583328
RUS,IDN,2.0574738705468314,2.2977655103283934,2.607138672559357
SVK,IDN,2.551608113733053,2.83652394427005,3.205036786079028
SVN,IDN,2.305667482388743,2.5726123354558785,2.9495373245813186
SWE,IDN,1.2835729169930086,1.4193036108176784,1.6043268646872013
THA,IDN,1.6835218675935535,1.9216273509471575,2.2477127331887923
TUR,IDN,1.881288275553697,2.102475704131047,2.3779501450232057
USA,IDN,1.2865266983036534,1.4113866276509368,1.5724749763374353
VNM,IDN,2.2091306440733516,2.552464853747227,2.9896434228606723
ZAF,IDN,1.7386218637159288,1.9807474666479248,2.274767783560799
AUS,IND,0.699287397039442,0.7986511955853757,0.9064003309728772
AUT,IND,1.1225207477525303,1.2933425449467233,1.4813253887049942
BGR,IND,2.14154139879503,2.4547677252472466,2.8187392187844793
BNL,IND,0.7278751127021711,0.8470024100837273,0.9799055160972304
BRA,IND,1.0186000192110507,1.1848782899432815,1.3491058517032961
CAN,IND,0.9025006554448669,1.0275727974011688,1.1605896949741112
CHL,IND,1.0766072475401205,1.235895831444749,1.4158640994119291
CHN,IND,0.9681941601132819,1.1203372609523938,1.2883804135917152
COL,IND,1.5842201030924064,1.8576055725274359,2.174724664741674
CYP,IND,1.648626726187581,1.9339805778799313,2.226060752365709
CZE,IND,1.3921359396901896,1.5791583528082427,1.8044399507173974
DEU,IND,0.8445437312578915,0.9638866681963403,1.1021901730713521
DNK,IND,1.0670948665963673,1.2291343269110246,1.4013252163832421
ELL,IND,1.3166033895439275,1.5154497637330917,1.7283875497638967
ESP,IND,1.2398641712537655,1.4170399105723683,1.614455105860522
FIN,IND,1.0916836423434442,1.2489188532934037,1.417883770084121
FRA,IND,1.0178003021117716,1.1635869065623172,1.3215634443461008
GBR,IND,0.9909892531263695,1.1386152017847688,1.2911157679491683
GRC,IND,1.636950586004607,1.872574339873056,2.1199349817629005
HUN,IND,1.576546288251757,1.8396049833371655,2.0914230638321514
IDN,IND,1.2288541452485402,1.4585746474565915,1.6940564108905696
IRL,IND,1.3111118509177337,1.4978054310195346,1.70979659155396
ISR,IND,0.9882847704373096,1.1341127550503438,1.3054838672015308
ITA,IND,0.9738306797945777,1.1175443236762588,1.2604384541549392
JPN,IND,0.6936746642895906,0.8012696200403107,0.9194407175248046
KOR,IND,0.8833422538040646,1.0261629037619187,1.1663715432920243
MEX,IND,1.4322848424609225,1.6446245358059228,1.8584242643718747
MYSG,IND,0.9806910719001423,1.135351037663272,1.3191821862811517
NZL,IND,1.1480178107866288,1.3103618361632674,1.4983881225029425
PER,IND,1.6635342268909237,1.9277981591844444,2.215476817888117
PHL,IND,2.2611264806104336,2.6558365794581293,3.1102466172189933
POL,IND,1.762077806432519,2.0289147147165902,2.2948397228807806
PRT,IND,1.6776973514412592,1.9138213206518575,2.1655135544339683
ROU,IND,1.8337412955134142,2.106322264549685,2.405535335280124
RoW,IND,0.7561709721250932,0.8661462995230675,0.987886496700974
RUS,IND,1.4080932928831942,1.6078718829912797,1.8419036510759335
SVK,IND,1.6712302538663772,1.9269999727734968,2.194591515213341
SVN,IND,1.5855435365755044,1.8124486861319098,2.0769160614302313
SWE,IND,0.9549053304008723,1.0959045443257485,1.2429251199709372
THA,IND,1.5633569707808455,1.8469899005163852,2.1476727007925396
TUR,IND,1.4902879057146563,1.7228926231573134,1.9697157553985305
USA,IND,0.9888235638203188,1.1228102168845577,1.2678655355804564
VNM,IND,2.029659399173209,2.429247148505002,2.849089887125753
ZAF,IND,1.0883427747226293,1.2706520756418558,1.468870974370961
AUS,IRL,2.1297483962088104,2.2746300471728054,2.446060213348006
AUT,IRL,2.139849500655907,2.3092542396469127,2.4947061108078246
BGR,IRL,4.185155572984838,4.528932156899006,4.907389198822032
BNL,IRL,1.250013374637556,1.3865642109646306,1.5144523150213451
BRA,IRL,2.2675892545188887,2.4765781107793052,2.707877662904434
CAN,IRL,2.0294377656010014,2.154004668144018,2.2906748240806936
CHL,IRL,3.06007188876308,3.2929426241295765,3.5705345778051982
CHN,IRL,2.1375095081072804,2.3736253323631624,2.620020932138709
COL,IRL,3.1171483554553716,3.4777099717188102,3.903282207959042
CYP,IRL,3.168625918166427,3.5109480400989073,3.8180776150242948
CZE,IRL,2.4945838106474048,2.6832457616102996,2.8782000747771628
DEU,IRL,1.553898206061596,1.6660336221790808,1.7960164056321894
DNK,IRL,1.556661854697642,1.7040014490813598,1.8514156268032649
ELL,IRL,2.572229986634111,2.797566204221489,3.032731840145436
ESP,IRL,2.1321253515976144,2.290365910205609,2.4513421071787884
FIN,IRL,2.3066773708207515,2.4582145409066722,2.6315140199136726
FRA,IRL,1.699332504604775,1.8294048488060286,1.9622178870768299
GBR,IRL,1.342352890360983,1.4324255557119807,1.5344234792328075
GRC,IRL,2.9798214473886278,3.2063473288636954,3.452831473743825
HUN,IRL,2.8183799496743505,3.0733050791795495,3.3515224256546534
IDN,IRL,3.698644803691668,4.172954920189342,4.629544376903198
IND,IRL,4.117761839016465,4.7066232422748016,5.37805479159681
ISR,IRL,2.428722529724217,2.6225952118015012,2.846574711324479
ITA,IRL,1.9185348960121862,2.0479042724385064,2.189908580507763
JPN,IRL,1.5094280215325742,1.6558281875230527,1.8115484614621962
KOR,IRL,2.0834624132616537,2.2912872693873645,2.516227645729374
MEX,IRL,3.094185160728113,3.3051899600764614,3.5587997736507524
MYSG,IRL,2.3631450085711387,2.623000900256736,2.9207292316278672
NZL,IRL,2.7011663703732682,2.904771062904181,3.1399206405718325
PER,IRL,4.50137682432517,4.911478034535794,5.405420116616343
PHL,IRL,4.8233392012682135,5.400234129902538,6.028471547747105
POL,IRL,2.895007686473188,3.1191212183390205,3.3617838777637874
PRT,IRL,2.649337941575479,2.8389699814464695,3.044090461612714
ROU,IRL,3.182452907159598,3.4247795839674806,3.696294309382574
RoW,IRL,2.01256588071473,2.1546903481084456,2.334768714859749
RUS,IRL,3.5465037466211258,3.823095575327981,4.134954423933979
SVK,IRL,2.642038086438319,2.8661259526228196,3.0838072484131778
SVN,IRL,3.1636198362091967,3.434599074672783,3.7098599428123826
SWE,IRL,1.7653914884208968,1.8886031059590862,2.021342010106454
THA,IRL,3.531874077167434,3.96930995739097,4.419949285386347
TUR,IRL,2.658332800860328,2.8962354272911393,3.135313867210598
USA,IRL,1.8731144658626555,1.9608435987153436,2.053089034793688
VNM,IRL,4.37183678369669,4.94723122041575,5.629679558001543
ZAF,IRL,2.9036993922645,3.2115216530605952,3.537335189261645
AUS,ISR,2.050485433968279,2.2203077609692183,2.396437401239384
AUT,ISR,2.154913800735363,2.336472271777408,2.544799073979196
BGR,ISR,3.762555610552998,4.111857632149813,4.4712020954365785
BNL,ISR,1.336161653692501,1.4794993405140278,1.6308502677743957
BRA,ISR,2.3529930663503373,2.6074207594792487,2.860342413175512
CAN,ISR,2.0753473806908804,2.240736892031635,2.4019174240047643
CHL,ISR,3.1646223672942697,3.4448593026719965,3.7370703175099163
CHN,ISR,2.143729724019634,2.390078708411465,2.698402760647047
COL,ISR,2.7187935176565974,3.054884876652353,3.433697724558412
CYP,ISR,1.9403447428646547,2.1748461128599788,2.4021118328943154
CZE,ISR,2.6019599613754445,2.817800437746036,3.0310158617269143
DEU,ISR,1.680146079969079,1.8343682363525282,1.9994420171787757
DNK,ISR,2.0552212067204194,2.2483930190756123,2.4654917759149835
ELL,ISR,2.8456396608951233,3.137237326785163,3.4111328326803996
ESP,ISR,2.220113504602619,2.3967876429135346,2.577649394250161
FIN,ISR,2.2627265565138215,2.447692032527689,2.6409330437342704
FRA,ISR,1.9543987835329124,2.1098769212961646,2.2858374630746052
